Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
05-Apr-24,Friday,April,Q2,2024,EQ,3211.10,3234.00,3178.95,3210.80,3217.90,3224.80,3215.34,3350.00,1671.55,755607.00,37497.00
04-Apr-24,Thursday,April,Q2,2024,EQ,3250.00,3273.00,3201.70,3233.45,3220.00,3210.80,3234.57,3350.00,1671.55,1403826.00,99323.00
03-Apr-24,Wednesday,April,Q2,2024,EQ,3250.00,3260.15,3222.00,3268.75,3238.00,3233.45,3238.76,3350.00,1671.55,1153109.00,55622.00
02-Apr-24,Tuesday,April,Q2,2024,EQ,3258.95,3285.00,3240.00,3252.10,3267.35,3268.75,3259.76,3350.00,1671.55,868829.00,55071.00
01-Apr-24,Monday,April,Q2,2024,EQ,3230.20,3291.80,3207.85,3197.10,3255.20,3252.10,3247.41,3350.00,1671.55,1292646.00,71000.00
28-Mar-24,Thursday,March,Q1,2024,EQ,3134.00,3237.00,3096.75,3122.10,3197.00,3197.10,3178.72,3350.00,1573.00,2327053.00,141506.00
27-Mar-24,Wednesday,March,Q1,2024,EQ,3115.00,3138.45,3106.25,3109.95,3124.25,3122.10,3122.82,3350.00,1573.00,900231.00,66957.00
26-Mar-24,Tuesday,March,Q1,2024,EQ,3100.50,3171.95,3089.10,3107.70,3112.00,3109.95,3130.27,3350.00,1573.00,937103.00,66405.00
22-Mar-24,Friday,March,Q1,2024,EQ,3066.55,3128.95,3048.05,3066.50,3103.00,3107.70,3095.08,3350.00,1573.00,951557.00,63264.00
21-Mar-24,Thursday,March,Q1,2024,EQ,3089.55,3107.10,3059.60,3051.45,3071.65,3066.50,3080.51,3350.00,1573.00,1175751.00,67248.00
20-Mar-24,Wednesday,March,Q1,2024,EQ,3075.00,3083.20,3021.10,3052.70,3050.10,3051.45,3046.55,3350.00,1573.00,966481.00,64232.00
19-Mar-24,Tuesday,March,Q1,2024,EQ,3126.00,3164.80,3041.85,3111.75,3055.90,3052.70,3093.78,3350.00,1573.00,1460452.00,92875.00
18-Mar-24,Monday,March,Q1,2024,EQ,3050.10,3124.00,2976.05,3132.20,3110.00,3111.75,3053.40,3350.00,1573.00,3042515.00,159589.00
15-Mar-24,Friday,March,Q1,2024,EQ,3111.00,3143.40,3061.25,3087.45,3125.00,3132.20,3108.38,3350.00,1573.00,2199094.00,120251.00
14-Mar-24,Thursday,March,Q1,2024,EQ,2927.45,3101.20,2880.00,2906.20,3085.00,3087.45,3033.64,3350.00,1573.00,3759100.00,246625.00
13-Mar-24,Wednesday,March,Q1,2024,EQ,3125.00,3138.05,2850.15,3122.50,2909.80,2906.20,2950.44,3350.00,1573.00,3407040.00,237808.00
12-Mar-24,Tuesday,March,Q1,2024,EQ,3207.35,3222.70,3111.00,3207.35,3122.90,3122.50,3156.27,3350.00,1573.00,1199487.00,86164.00
11-Mar-24,Monday,March,Q1,2024,EQ,3241.20,3259.00,3200.00,3226.55,3210.00,3207.35,3229.54,3350.00,1573.00,738851.00,48887.00
07-Mar-24,Thursday,March,Q1,2024,EQ,3240.00,3262.00,3220.00,3233.95,3229.00,3226.55,3240.29,3350.00,1573.00,856328.00,52628.00
06-Mar-24,Wednesday,March,Q1,2024,EQ,3323.00,3323.00,3183.15,3310.20,3238.00,3233.95,3226.77,3350.00,1573.00,1935203.00,111432.00
05-Mar-24,Tuesday,March,Q1,2024,EQ,3325.30,3334.00,3295.05,3317.15,3328.00,3310.20,3314.16,3350.00,1573.00,1190416.00,68687.00
04-Mar-24,Monday,March,Q1,2024,EQ,3335.00,3350.00,3310.05,3333.25,3320.95,3317.15,3325.35,3350.00,1573.00,1061244.00,59907.00
02-Mar-24,Saturday,March,Q1,2024,EQ,3332.00,3348.70,3321.50,3318.75,3332.50,3333.25,3333.12,3348.70,1103.75,119511.00,9160.00
01-Mar-24,Friday,March,Q1,2024,EQ,3309.85,3346.00,3281.80,3285.40,3321.50,3318.75,3314.26,3346.00,1103.75,1161067.00,64364.00
29-Feb-24,Thursday,February,Q1,2024,EQ,3220.05,3304.75,3205.35,3219.00,3299.90,3285.40,3260.07,3344.00,1103.75,1352988.00,95429.00
28-Feb-24,Wednesday,February,Q1,2024,EQ,3309.20,3318.80,3207.50,3302.30,3218.90,3219.00,3252.19,3344.00,1103.75,1358879.00,98070.00
27-Feb-24,Tuesday,February,Q1,2024,EQ,3339.00,3340.00,3273.00,3327.75,3296.00,3302.30,3306.04,3344.00,1103.75,1125570.00,65439.00
26-Feb-24,Monday,February,Q1,2024,EQ,3272.00,3344.00,3263.00,3273.30,3328.00,3327.75,3318.26,3344.00,1103.75,1695378.00,104868.00
23-Feb-24,Friday,February,Q1,2024,EQ,3263.05,3319.95,3225.10,3263.05,3273.05,3273.30,3281.89,3319.95,1103.75,1975035.00,84335.00
22-Feb-24,Thursday,February,Q1,2024,EQ,3239.00,3274.00,3210.50,3223.20,3261.30,3263.05,3236.68,3308.60,1103.75,1138722.00,88963.00
21-Feb-24,Wednesday,February,Q1,2024,EQ,3238.00,3300.00,3205.00,3228.60,3226.95,3223.20,3258.00,3308.60,1103.75,1657021.00,105900.00
20-Feb-24,Tuesday,February,Q1,2024,EQ,3267.00,3269.80,3210.15,3258.80,3235.00,3228.60,3238.23,3308.60,1103.75,1467630.00,61717.00
19-Feb-24,Monday,February,Q1,2024,EQ,3240.00,3308.60,3235.80,3223.60,3265.00,3258.80,3275.82,3308.60,1103.75,1779444.00,87952.00
16-Feb-24,Friday,February,Q1,2024,EQ,3214.00,3252.30,3192.65,3193.80,3223.20,3223.60,3221.58,3277.95,1103.75,2193673.00,84990.00
15-Feb-24,Thursday,February,Q1,2024,EQ,3219.85,3252.75,3184.05,3207.20,3190.40,3193.80,3214.66,3277.95,1103.75,2035204.00,90530.00
14-Feb-24,Wednesday,February,Q1,2024,EQ,3184.00,3255.25,3169.85,3178.45,3202.00,3207.20,3212.71,3277.95,1103.75,1741264.00,101676.00
13-Feb-24,Tuesday,February,Q1,2024,EQ,3180.00,3194.00,3092.05,3169.75,3180.00,3178.45,3142.91,3277.95,1103.75,1225207.00,73578.00
12-Feb-24,Monday,February,Q1,2024,EQ,3229.00,3241.95,3160.00,3215.20,3166.00,3169.75,3193.32,3277.95,1103.75,1083138.00,64420.00
09-Feb-24,Friday,February,Q1,2024,EQ,3184.45,3224.95,3121.20,3168.60,3215.00,3215.20,3182.28,3277.95,1103.75,1572789.00,92034.00
08-Feb-24,Thursday,February,Q1,2024,EQ,3245.60,3245.60,3146.10,3229.85,3179.00,3168.60,3186.56,3277.95,1103.75,1679004.00,126898.00
07-Feb-24,Wednesday,February,Q1,2024,EQ,3220.05,3277.95,3210.00,3203.75,3233.00,3229.85,3242.51,3277.95,1103.75,2095911.00,122378.00
06-Feb-24,Tuesday,February,Q1,2024,EQ,3183.90,3228.20,3160.00,3173.45,3200.65,3203.75,3197.81,3236.95,1103.75,2078891.00,148672.00
